Stary plik;Nowa klasa;Stara funkcja;Nowa metoda;KOD podmiany
cart-flight-options.php;SRL_Cart_Flight_Options;srl_add_flight_option_cart_item_data();addFlightOptionCartItemData(;SRL_Cart_Flight_Options::getInstance()->addFlightOptionCartItemData(
cart-flight-options.php;SRL_Cart_Flight_Options;srl_display_flight_option_cart_item_data();displayFlightOptionCartItemData(;SRL_Cart_Flight_Options::getInstance()->displayFlightOptionCartItemData(
cart-flight-options.php;SRL_Cart_Flight_Options;srl_save_flight_option_order_item_meta();saveFlightOptionOrderItemMeta(;SRL_Cart_Flight_Options::getInstance()->saveFlightOptionOrderItemMeta(
cart-flight-options.php;SRL_Cart_Flight_Options;srl_display_flight_option_meta_key();displayFlightOptionMetaKey(;SRL_Cart_Flight_Options::getInstance()->displayFlightOptionMetaKey(
cart-flight-options.php;SRL_Cart_Flight_Options;srl_display_flight_option_meta_value();displayFlightOptionMetaValue(;SRL_Cart_Flight_Options::getInstance()->displayFlightOptionMetaValue(
cart-flight-options.php;SRL_Cart_Flight_Options;srl_process_flight_options_purchase();processFlightOptionsPurchase(;SRL_Cart_Flight_Options::getInstance()->processFlightOptionsPurchase(
cart-flight-options.php;SRL_Cart_Flight_Options;srl_validate_flight_option_add_to_cart();validateFlightOptionAddToCart(;SRL_Cart_Flight_Options::getInstance()->validateFlightOptionAddToCart(
flight-options.php;SRL_Flight_Options;srl_analiza_opcji_produktu();analizaOpcjiProduktu(;SRL_Flight_Options::getInstance()->analizaOpcjiProduktu(
flight-options.php;SRL_Flight_Options;srl_przedluz_waznosc_lotu();przedluzWaznoscLotu(;SRL_Flight_Options::getInstance()->przedluzWaznoscLotu(
flight-options.php;SRL_Flight_Options;srl_lot_ma_opcje();lotMaOpcje(;SRL_Flight_Options::getInstance()->lotMaOpcje(
flight-options.php;SRL_Flight_Options;srl_dostepne_opcje_do_dokupienia();dostepneOpcjeDoDokupienia(;SRL_Flight_Options::getInstance()->dostepneOpcjeDoDokupienia(
product-flight-options.php;SRL_Product_Flight_Options;srl_wyswietl_formularz_wyboru_lotu();wyswietlFormularzWyboruLotu(;SRL_Product_Flight_Options::getInstance()->wyswietlFormularzWyboruLotu(
voucher-functions.php;SRL_Voucher_Functions;srl_generuj_unikalny_kod();generujUnikalnyKod(;SRL_Voucher_Functions::getInstance()->generujUnikalnyKod(
voucher-functions.php;SRL_Voucher_Functions;srl_dodaj_produkt_tandemowy();dodajProduktTandemowy(;SRL_Voucher_Functions::getInstance()->dodajProduktTandemowy(
voucher-gift-functions.php;SRL_Voucher_Gift_Functions;srl_generuj_kod_vouchera();generujKodVouchera(;SRL_Voucher_Gift_Functions::getInstance()->generujKodVouchera(
voucher-gift-functions.php;SRL_Voucher_Gift_Functions;srl_czy_produkt_vouchera();czyProduktVouchera(;SRL_Voucher_Gift_Functions::getInstance()->czyProduktVouchera(
